GeneName	Sources	Studies	Traits
HECTD4	MAGMA	MAGIC2021_HbA1c	HbA1C
HERC1	MAGMA,sTWAS,DEPICT	Mahajan2022,Mahajan2018,Lagou2023	T2D,RandomGlucose
HEYL	MAGMA	Mahajan2022	T2D
HHEX	MAGMA	Mahajan2022,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_cir	T2D,FirstPhaseInsRel
HI-LNC1121	MAGMA	Mahajan2022	T2D
HI-LNC2866	MAGMA	Mahajan2022	T2D
HI-LNC3075	MAGMA	Mahajan2022	T2D
HI-LNC4176	MAGMA	MAGIC2021_HbA1c	HbA1C
HI-LNC496	MAGMA	Mahajan2022	T2D
HI-LNC71	MAGMA	MAGIC2021_FG	FG
HI-LNC77	MAGMA	Mahajan2022	T2D
HI-LNC897	eTWAS	Mahajan2022	T2D
HI-LNC976	MAGMA	MAGIC2021_HbA1c	HbA1C
HINFP	MAGMA	MAGIC2021_HbA1c	HbA1C
HIRIP3	MAGMA	Mahajan2022	T2D
HIVEP2	pcHiC	Mahajan2022	T2D
HK1	MAGMA	MAGIC2021_HbA1c	HbA1C
HKDC1	MAGMA	MAGIC2021_HbA1c	HbA1C
HMBS	TIGEReQTL	Mahajan2018	T2D
HMG20A	pcHiC,MAGMA,eTWAS,DEPICT	Mahajan2022,Mahajan2018,Lagou2023	T2D,RandomGlucose
HMGA1	MAGMA	Mahajan2022,MAGIC_FI	T2D,FI
HMGA2	MAGMA	Mahajan2022	T2D
HMGCR	MAGMA,sTWAS	Mahajan2022	T2D
HNF1A	pcHiC,MAGMA,DEPICT	Mahajan2022,MAGIC_2hGlu,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_bigair,MadsenAL_di,Lagou2023	T2D,2hGlu,FirstPhaseInsRel,DispositionIndex,RandomGlucose
HNF1A-AS1	MAGMA	Mahajan2022,MAGIC_2hGlu,MadsenAL_xinsG30,MadsenAL_xinsdG30,MadsenAL_stumvoll,MadsenAL_cir,MadsenAL_bigair,MadsenAL_di	T2D,2hGlu,FirstPhaseInsRel,DispositionIndex
HNF1B	MAGMA,DEPICT	Mahajan2022,Lagou2023	T2D,RandomGlucose
HNF4A	MAGMA	Mahajan2022	T2D
HNRNPDL	pcHiC	Mahajan2022	T2D
HOTAIRM1	sTWAS	MAGIC_FI	FI
